Cold Tongue Index (C*100, 6N-6S,180-90W SST anomaly minus global mean)
    1 -999
 1845 2010
Cold Tongue Index (C*100, 6N-6S,180-90W SST anomaly minus global mean)
http://jisao.washington.edu/enso/; -999 for missing, ICOADS data
values * 100; 1950-79 climatology.
       jan  feb  mar  apr  may  jun  jul  aug  sep  oct  nov  dec
 1900  147  150  103   72   98   91   84   51   16   84   20   55
 1901   59   29    1   38   10   18  -50  -19   26   24   45   24
 1902   52   62   68   77   94  111  212  175  177  205  217  188
 1903  189  157  117   35   49    8  -31  -54  -27  -12  -45  -67
 1904    1   20   42    2   21   74  125  138   75  144  132  146
 1905  167  116  147  129  185  189  133  137  194  164  138  118
 1906  144   68   34   73   25  -26  -37  -98  -36  -57  -78  -16
 1907  -20  -43  -57   -5   28   42   92   22   93   34   61   55
 1908  -13   73   18  -13   -1  -52  -59   -1  -84  -35  -59  -65
 1909  -46 -106  -11  -22  -66  -51  -26  -95  -49  -95  -95 -127
 1910  -71  -33  -91 -113  -44  -40  -16  -60  -49   -7  -48  -19
 1911  -48  -61  -49  -32   52   37  118  123  131  133  181  225
 1912  165  115   93  113   46  -14   18  -34   40   24   -7   -5
 1913   -7   29   28    6    3   52   51   37   62   54   91  130
 1914  125   74   73   91   61   37   78   72  166   84  131   70
 1915   67  118  102   50  120  101  -76  128   -3  -63  -66  -53
 1916   10   49  -35   53    5  -11  -82 -155  -76 -149  -97  -75
 1917  -80   26  -25   40    0   34  -41 -999   55    0 -155  -69
 1918   22  -45   12  -30   62   94  103  116  133   99  226  233
 1919  126  180   49   33   78   52   18   19   84   38   32  105
 1920   82  -87   96   18   96   92   31   -9   51   13   -5    0
 1921    6   32  -56   -3  -41   -5    2  -27   44    2  -20   29
 1922  -40    9   22   32   38  -41   -9  -29  -11  -72  -42   -2
 1923  -25  -38   21   24   53   56   64   61  107   95  105   87
 1924   47   43   43  -13  -30  -18  -55  -64  -69  -55  -60  -45
 1925  -54  -36    1    2   10   46   60   81   87   80  131  119
 1926  125   93   88   89   84   12   50    3  -15  -45  -36  -42
 1927   26   38  -36  -39   19    4  -19   17   33   50   25   47
 1928   33   19   12   27   39  -29   14    7   14    0    7   17
 1929  -28  -12   36   31   39   52   29   33   66   50   54   39
 1930   48   40   35   54   54   26   86   80  120  123  166  162
 1931  170  106   96   93   59   24   20   15  -28  -46  -42  -46
 1932   -8   25   62   33   99   57   17   15   23    7    7    9
 1933   -1   36   -8   12  -36  -43  -63  -68  -38 -102  -76  -86
 1934  -51  -43  -21   18   13   -8   -6   20    6  -15    1  -50
 1935  -63  -51   -3  -25  -17   -4  -15   31   29   29   24    6
 1936   32   30   25   46   26  -21  -24  -16   11   20   -8   -6
 1937  -31  -22   -2   21   -3   17    7   -6    4  -15   18  -12
 1938  -56   -9  -58  -69  -60  -92 -109  -61  -87   -7  -77  -40
 1939   -6   17  -39   77   39   54   73   67   60  -37   -3   27
 1940  104   98   84   -5   81   55   50   23   53   50   80  119
 1941  120  122  102  108  109  116  110   66   50   52   83   93
 1942   95   61   26   40    2    3  -38  -87 -120  -90 -123 -115
 1943 -129 -116 -100  -80  -62  -10   -7   12    0  -68  -58  -47
 1944  -47  -23  -12   23   21    1   24   19   26  -44  -36  -33
 1945  -57  -43 -108 -131  -29 -999  -77  -31  -28  -38  -33   30
 1946 -999   14  -24   28   50  -49  -52  -65   44  -33  -28   48
 1947   45   35   27   35   47   47  -25  -21  -25  -43  -22   -7
 1948   38   39   58   52   39  -32  -70  -22  -35  -46   -1   16
 1949  -65   44   -1   62   30  -26  -21  -42  -82 -108 -129  -57
 1950 -119 -131  -44  -67  -74  -51 -103  -54  -88  -87 -101  -30
 1951  -38  -41  -24   58   60    4  142  120   71  115  154  109
 1952   64   22   -9   35   -3  -41  -42  -48  -31  -30  -47  -26
 1953   39   34   50   95   72   56   50   15   92   26   50   15
 1954  -10   -1   14  -81  -95  -99 -104  -95  -96 -108  -81  -87
 1955  -25   17  -46  -47  -85  -87  -96  -66 -109 -137 -183 -148
 1956 -114  -53  -40  -10  -20   -7  -24  -50  -47  -43  -68  -57
 1957  -55   -2   39   66  102  124  149  118  108   82  120  126
 1958  136  118   87   36   22   44   35   19  -21    3    8    2
