Indian Ocean Surface Air Temperature anomalies (0.01C)
    1 -999
 1800 2004
Indian Ocean Surface Air Temperature anomalies (0.01C)
30N-30S, 46-100E (excluding the Red Sea), 1950-79 climatology
http://jisao.washington.edu/data/indiansat, -999 missing.
       jan  feb  mar  apr  may  jun  jul  aug  sep  oct  nov  dec
 1900    5   27   -2   11    3   -9  -49  -30  -22  -54  -24   18
 1901   31  -15  -27   -6  -15  -38  -51  -33  -64  -23  -33  -45
 1902  -48  -30  -36  -35  -36  -15  -13   -6  -15  -41  -36  -30
 1903  -25  -40  -45  -64  -40   -8  -20  -38  -56  -65  -72  -86
 1904  -85  -81  -84  -96  -79  -83  -88  -71  -86  -82  -59  -84
 1905  -75  -69  -47 -112  -77  -38  -31  -34  -36  -37  -35   -8
 1906  -21   -5  -36  -54  -18  -17  -30  -68  -62  -74  -73  -47
 1907  -50  -36  -69  -64  -70  -57  -68  -84  -76  -52  -58  -65
 1908  -48 -103  -97  -85  -78  -57  -63  -53  -59  -47  -46  -65
 1909  -57  -75  -79  -51  -61  -71  -61  -75  -49  -68  -49  -42
 1910  -47  -66  -68  -83  -68  -72  -79  -64  -85  -76  -79  -89
 1911  -52  -59  -61 -108  -56  -75  -74  -59  -66  -73  -52  -52
 1912  -24  -29  -55  -16  -33  -17  -25  -42  -43  -52  -55  -61
 1913  -59  -20  -74  -78  -40  -41  -41  -50  -56  -51  -49  -34
 1914  -31  -22  -49  -48  -26    5    4    3  -11  -21   -8  -21
 1915   -7  -12  -21   -4   23   11  -18  -13  -16  -15  -46  -33
 1916  -55  -63  -40  -15  -38  -27  -44  -47  -34  -65  -69  -61
 1917  -61  -63  -64  -76  -58  -24  -21  -34   -7  -36  -55  -62
 1918 -106  -85  -57  -74  -78  -62  -26  -46  -34  -16  -15  -21
 1919   -6    9  -46  -11  -19  -17  -20  -20  -25  -20  -29  -30
 1920  -15  -12  -21  -62  -30  -27  -33  -34  -35  -41  -32  -46
 1921  -34  -59  -62  -48  -46  -26  -28  -47  -41  -45  -38  -26
 1922  -30  -36  -50  -77  -67  -18  -56  -43  -54  -53  -45  -61
 1923  -55  -60  -45  -33  -53  -42  -40  -44  -53  -35  -27  -55
 1924  -43  -38  -38  -25  -26  -31   -7  -20  -45  -40  -42  -54
 1925  -73  -85  -89  -56  -38  -29  -23  -33  -22  -14  -14  -25
 1926   -6    6   18  -11  -19   18   21   14   -9   -9  -22  -22
 1927  -43  -15  -77  -52  -46  -33  -26  -42  -46  -28  -35  -22
 1928    8  -20  -34  -46  -10    2  -25  -35  -30  -53  -23  -31
 1929  -21  -31  -36  -37  -32  -20  -14  -36  -33  -15  -17    1
 1930  -13  -22  -33  -31  -44  -35  -16  -23  -36  -26  -16  -15
 1931   -7   33    3  -14   27   -1   15    4  -26  -13  -15  -39
 1932  -19  -44  -35  -45  -24   -7  -18  -17   -1  -17  -45  -24
 1933  -18  -15  -21  -23  -37  -24  -33  -50  -45  -50  -51  -43
 1934  -76  -65  -66  -50  -44  -23  -24  -14   -5  -36  -37  -21
 1935  -36  -29  -51  -31  -20  -22  -15  -35   -3  -14  -23  -20
 1936  -10    5  -14  -21  -18  -15   -7    1  -17    2  -11    6
 1937    1   15  -14  -23  -11    4   -5    7    8   -4    6  -24
 1938    8   -3  -15  -24   -6  -14  -16  -10   -4   -7  -39  -21
 1939  -19    1  -27  -50  -25  -24   -9  -30  -17  -19  -37  -18
 1940  -29  -19  -28   -1   -6   13  -24   -3   22   21   27   42
 1941   37   23   33   56   28   20   43   45   13   49   53   85
 1942   63   72   74   55   37   39  -15    3  -28   24   27  -12
 1943    8  -38   23   11   35    3   -4  -19   21  -14  -13   -4
 1944   12   11   15  -14    4   37   62   70   32   32   20   19
 1945   43   12   19   -7   25   22   39   18   55   -2  -35  -42
 1946  -30  -18  -26   21    8    0   15   -7   -9   -5  -13  -17
 1947   13   -6   -5  -22    9   14   21   -2  -30  -34  -10  -18
 1948   -9   11    5   -6    9   22    7   12  -10    4   -9    8
 1949  -15  -30  -11   -6   -3    5   25    4    3   -9  -32  -17
 1950  -23  -44  -21  -39  -11  -20  -29  -18   -4  -21  -32  -45
 1951  -43  -43  -12  -29   -2  -10  -11   14   17   32   34   13
 1952  -21    9   -4   18   29   13   -9   -6  -18  -23  -23   -9
 1953   -4   11   35   -6   16   19  -12    8   -7   -7    7   22
 1954    1   18    7   -8    0  -11  -24  -16  -12  -40  -14  -11
 1955   13  -27  -13  -28  -47  -46  -34  -23  -21  -22  -21  -18
 1956  -37  -32    5    0  -39  -46  -64  -30  -25  -32  -12  -28
 1957   -1  -29  -27  -17   11    8    0    6   -2   -1   26   26
 1958   52   27   24   39   33   28   21    2   11  -15  -11   10
 1959    7   10    3    9   17    4    4   -8   -8    4  -19  -16
 1960    5   16    3   -8  -20   -2  -19  -10  -13   -1  -14    1
 1961   20    2   10   -7   -4   -2    0   10   -2    4  -20  -13
 1962  -32    2   -8    3   -8   24   37   15   28   -1   18   20
 1963    0   23    0   15   -4   -5    7    9   -3   13   19   13
 1964   -6    9   15   13    0   -1  -37  -36  -40  -39  -50  -65
 1965  -37  -21  -43  -48  -39  -32  -13  -17    6   11   14  -12
 1966   17   36  -21  -30  -13   -5   15   17   15   -9  -13  -24
 1967  -25  -22   -3  -17   -1   10    2  -11  -14    1    1  -20
 1968  -33  -39  -44  -45  -37  -30  -18  -13  -19  -18  -25   -2
 1969   22   23   51   49   27   17   27   12    8   40   35   39
 1970   32   29   10    3    4   10   20   17   22   -2   22    8
 1971   -3  -27  -14   28   -4  -24    0    0    4  -16  -13  -10
 1972   21  -32  -19   -2   19   23   31   29   60   50   25   50
 1973   28   50   48   51   23    5   30   -1    8   25   12  -26
 1974  -11  -17    0  -16   -9    7   19   12  -23  -10    2   -1
 1975  -13   -1  -29  -16   10   -1   -2  -11   -6  -34  -32  -29
 1976  -35   -8   -6   -8    3   20   30    3   -3   15   12   24
 1977   27   15   19   48   32   27   27   27   33   41   35   60
 1978   50   40   16   26    9   -7  -10   11    1   15   18   15
 1979   28   25   18   22    9   27   12    9    6   39   19   30
 1980   19   29   17   42   53   27   14   14   17   23   26   16
 1981   30   25   44   27   29   15   14   27   25   24    8   -3
 1982    8   12   -5    4   25   32   35   31   36   39   18   24
 1983   24   26   22   27   48   70   78   61   39   31    5   -6
 1984  -19  -35  -13   14    8   -8  -11   -8  -23  -15  -23   -4
 1985   24  -13    2   13   21   -9   -4    6    9    1   11  -12
 1986  -20    0   -2   25   29   18    5    2    2    6   11    4
 1987   11   29   46   43   67   41   74   64   67   44   54   47
 1988   53   74   55   55   47   41   47   44   44   52   21   28
 1989  -19  -16   -5   -9    2  -22   -3    6   11   25   37   27
 1990   19   54   27   18   32   11   19   12   19   29   31   38
 1991   46   37   36   54   32   19   32    8   15    4    5    3
 1992  -12  -16  -62  -23    0    9    3    0  -11  -11    0   14
 1993   10   18  -11    5   28    6   19   27   12   15    8   15
 1994   28    0    0   35   24   16   15   -1   15    8   21    4
 1995   13   30    6   18   13   31   26   36   15   10   -6  -36
 1996    6    2   18   -6   20    9   15  -16    9  -18  -19  -20
 1997  -22  -33  -45  -44   15   37   39   42   39   39   50   38
 1998   17   60   -4   86   80   48   35   54   45   31   31    5
 1999    5   12    2    5   10    5  -10   11   13   -1   35   30
 2000   16  -11  -23    9   15  -18    3   10   14   26   38   18
 2001   14    3   18   12   30   10    5   30   40   22   21   46
 2002   -3    4   34   22   25   13   31   11   22   42   32   46
 2003   31   39   17   27   24   48   28   21   17   16   27   20
