Indian Ocean Surface Air Temperature anomalies (0.01C)
    1 -999
 1800 2004
Indian Ocean Surface Air Temperature anomalies (0.01C)
30N-30S, 46-100E (excluding the Red Sea), 1950-79 climatology
http://jisao.washington.edu/data/indiansat, -999 missing.
 1800 2004    1
       jan  feb  mar  apr  may  jun  jul  aug  sep  oct  nov  dec
 1800 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
 1801 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
 1802 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
 1803 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
 1804 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
 1805 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
 1806 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
 1807   75   80 -999 -999   91  135  287 -999 -999  120   -8 -999
 1808 -999  154   67   47 -999 -999 -999 -999 -999 -999 -999 -999
 1809 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
 1810 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
 1811 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
 1812 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
 1813 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
 1814 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
 1815 -999 -999 -999 -999 -999   54   34  -48 -999 -999 -999  103
 1816 -999 -999 -999 -999  -62 -999 -999   23 -999 -999 -999  -48
 1817  -62   30   11   16   62 -999 -999 -999 -999   85 -999 -999
 1818 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
 1819 -999 -999 -999 -999 -999  364   69 -999 -999 -999 -999  213
 1820 -999 -999 -999 -999 -999 -999 -999 -999   79  -33 -999 -223
 1821   34  -50 -999 -999  156  156 -999 -999 -999 -999  156  194
 1822 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999  254
 1823 -999 -999 -999  -22  -43  -62 -999 -999 -999 -999 -999 -999
 1824   78  245  173  160 -999 -999 -999 -999 -999 -999 -999 -999
 1825 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
 1826 -999 -999  255   65  -30  128 -999 -999 -999 -999    6   -6
 1827 -999   13   48 -999  -90 -999 -999  229   63 -999 -999  107
 1828   97  108  212  100   35   32 -999  105  164  -19   29 -999
 1829   42  205  152   57 -999 -999 -999  188   24   65 -999 -999
 1830   23   44   28 -999 -999 -999  -76 -999  -31 -999 -155 -127
 1831 -999 -999  301  168   24 -999 -999 -999 -999 -999 -999 -999
 1832  -11   28 -999  -32   15  106   27 -999 -999 -999   92 -999
 1833  195   82   60   51   51 -999 -999 -198   13 -999  -68 -103
 1834   70  -18   39  -28   30   78   21 -172   78   64 -999 -999
 1835   91   17   77  -45  -30 -999 -999   99  -23  114    5   78
 1836   84  -13   34   67   40   11  -24   32 -999  125  173   62
 1837   20   20 -106   43   91   18   46 -175   19   46 -999 -999
 1838 -999 -999 -999  -74  -79   27  -32   12  137  104   21  -13
 1839  -93  247  353   -5 -999  205  229  274  -64   20   51    2
 1840  -23  -54  125    1  -51  -36   45   41  272  146   26   18
 1841  104   64   80  -29  -52   51  106  162 -999  -51    9  330
 1842  122  129   71   23  -54  177  219   29  -44  -34 -999  112
 1843   60   65  -30    8 -207 -999  -25 -129  -65 -999  -34  107
 1844   93   71  156  110   -3  129   50  107   76   90 -999 -999
 1845   68  280   -2   30  166   80 -166  -33  -67  -17 -999 -999
 1846  134   40 -999   34  135  234  164 -999  131   26   82   14
 1847  -37   95   53  132   27  -36   18   39 -999  152  103  224
 1848 -999 -999   40 -999 -310  -78   12   35  -32 -112   91   22
 1849   37   23   28   22   22  -14    9   18   71   12   46   17
 1850   58   48   82   66  158   15   86  123   31  100  107   78
 1851  -32   62   92   25   59   49   21   75   71  136   80   50
 1852  112   72   83   13   34   59   30   45   48   38   47    1
 1853   82   27   91   27   60   18   55   56   71   79   35   35
 1854   81   44  110   73  112   35   37    8   77   73   89   81
 1855   25   31   54   43   43   29   -3   21    0   -5   28    7
 1856   71   22   59   48   85   68    3   28   95   38   16  -46
 1857    1  -28  -64   -9  -24   49  -40    5  -15  -46  -15  -13
 1858  -44  -61  -13   15  -68   20    7   74  -29   16   16  -22
 1859  -60  -51  -55   -3   27   -5   25   27  132   49   62    2
 1860   -3  -30  -20  -23   85  172   47   30   48  -18   24  -33
 1861    1  -18  -34  -68  -29    2  -16  -18   31  -20   17  -23
 1862  -23   14  -21  -23   -1    0    4   75   12   43   40   54
 1863    9   -3   40   34   53   47   13   14   11    3   23  -12
 1864  -36  -14  -26  -51   19   14   -8  -65  -31    8  -11   -6
 1865   26  -39  -30   43   61   10    6   -6  -59   22    7    2
 1866    0   -5   22   21  -13   40  -32   62    5  -25   15   -7
 1867   27  -27   10   34   25   32   36   20   70   67  -11  -49
 1868  -40   22  -24   20    9  -65  -13  -36  -30  -15   -2  -60
 1869   -2    8   18   16   32    8  -18   -7   43  -54   68    1
 1870   -6    1    2   40    9   11   24   33  -51    1    5  -72
 1871  -12   -5   -7   -1  -13  -22   14    9    2   -8  -19   12
 1872  -38  -64  -52   17  -19  -17  -50   -5   -5  -11  -10  -34
 1873   -1    0  -31   16    6   40  -33  -28  -21    5   21   18
 1874   32  -16   70   34   24   31    7   -4  -38    9  -51  -48
 1875  -49  -21   15    8   33   52    6  -53   43   15   -7   -2
 1876   28   35   28    3  -10   11  -32    1  -15  -12    2   -7
 1877   35  -13   41   46  -13   44   60   81   -9   36   72   68
 1878   99  104  112   72   57   67   90   80   52   42   25   17
 1879   -2   34    9   39    2   30    5    0    0   -7    2   62
 1880   22   30   36   49   20    1   -4    6   11    1   15   28
 1881   -5   22   26   56   40   13   33   86   47   30   38   23
 1882   33   12   24   33   66    4   24   26   95   78   40   21
 1883   49   14   14   67   57   59   43   48   76   40   40   73
 1884   31   48   28   53   73   51   58   55   54   50   33   54
 1885   57   44   29   56   40   48   39   42   64   34   93  103
 1886   55   79   56   46   59   53   47   18   47   34   25   42
 1887   37   -5   14   19   36   -3   24  -29   10   -7   21   -2
 1888   42   42    3   30   47   13   28   60   38   41   64   38
 1889   78   84   87   31   58   50   73   33   34    6    4    9
 1890   14   27   31   58   -2  -25  -26  -16  -29  -54  -29   -3
 1891   34    2  -25   -5   55  -11  -12    0   30  -14   27   16
 1892    4   56   -8   -2   35   72  -25  -47   -5  -19  -62  -59
 1893  -40  -54  -49  -57  -59  -87  -47  -67  -16  -47  -96  -42
 1894  -34  -19  -51  -51  -27  -32  -22  -31  -44  -21   -2  -32
 1895  -31  -37   -8    6   13  -31  -36  -14  -27  -61   26   -9
 1896    8  -12   12   24    6   -7  -10  -12  -32  -22    3   26
 1897   24   29    4    8    2  -15   21   48   28  -11  -20   -5
